timestamp,util.gpu,util.mem,mem.used,mem.total,power.draw
2026/02/06 23:57:04.482, 0 %, 0 %, 0 MiB, 40960 MiB, 34.64 W
2026/02/06 23:57:34.512, 0 %, 0 %, 0 MiB, 40960 MiB, 34.55 W
2026/02/06 23:58:04.542, 0 %, 0 %, 0 MiB, 40960 MiB, 34.54 W
2026/02/06 23:58:34.572, 0 %, 0 %, 0 MiB, 40960 MiB, 34.55 W
2026/02/06 23:59:04.602, 0 %, 0 %, 0 MiB, 40960 MiB, 34.44 W
2026/02/06 23:59:34.632, 0 %, 0 %, 1703 MiB, 40960 MiB, 36.42 W
2026/02/07 00:00:04.661, 0 %, 0 %, 3383 MiB, 40960 MiB, 36.62 W
2026/02/07 00:00:34.691, 0 %, 0 %, 3803 MiB, 40960 MiB, 36.62 W
2026/02/07 00:01:04.720, 0 %, 0 %, 5483 MiB, 40960 MiB, 36.82 W
2026/02/07 00:01:34.749, 0 %, 0 %, 6323 MiB, 40960 MiB, 36.71 W
2026/02/07 00:02:04.779, 0 %, 0 %, 6743 MiB, 40960 MiB, 36.62 W
2026/02/07 00:02:34.810, 0 %, 0 %, 9063 MiB, 40960 MiB, 36.71 W
2026/02/07 00:03:04.838, 0 %, 0 %, 10523 MiB, 40960 MiB, 36.82 W
2026/02/07 00:03:34.867, 4 %, 0 %, 12791 MiB, 40960 MiB, 36.71 W
2026/02/07 00:04:04.908, 1 %, 0 %, 14891 MiB, 40960 MiB, 36.62 W
2026/02/07 00:04:34.938, 67 %, 41 %, 19647 MiB, 40960 MiB, 178.33 W
2026/02/07 00:05:04.968, 80 %, 46 %, 19647 MiB, 40960 MiB, 260.70 W
2026/02/07 00:05:34.997, 74 %, 45 %, 21517 MiB, 40960 MiB, 173.41 W
2026/02/07 00:06:05.029, 71 %, 43 %, 21517 MiB, 40960 MiB, 205.79 W
